idx,date,odometr,diff,state,driverId
,2026-04-07T17:24:56.118Z,738402,2,IA,20141
,2026-04-07T17:25:59.112Z,738403,1,IA,20141
,2026-04-07T17:27:02.113Z,738404,1,IA,20141
,2026-04-07T17:28:05.123Z,738405,1,IA,20141
,2026-04-07T17:29:08.110Z,738407,2,IA,20141
,2026-04-07T17:30:11.114Z,738408,1,IA,20141
,2026-04-07T17:31:14.113Z,738409,1,IA,20141
,2026-04-07T17:32:14.122Z,738410,1,IA,20141
,2026-04-07T17:33:17.110Z,738411,1,IA,20141
,2026-04-07T17:34:17.113Z,738412,1,IA,20141
,2026-04-07T17:35:20.116Z,738413,1,IA,20141
,2026-04-07T17:36:23.116Z,738414,1,IA,20141
,2026-04-07T17:37:26.110Z,738415,1,IA,20141
,2026-04-07T17:38:29.109Z,738417,2,IA,20141
,2026-04-07T17:39:32.110Z,738418,1,IA,20141
,2026-04-07T17:40:35.107Z,738419,1,IA,20141
,2026-04-07T17:41:38.115Z,738420,1,IA,20141
,2026-04-07T17:42:41.109Z,738421,1,IA,20141
,2026-04-07T17:43:44.119Z,738422,1,IA,20141
,2026-04-07T17:45:50.112Z,738424,2,IA,20141
,2026-04-07T17:46:53.125Z,738425,1,IA,20141
,2026-04-07T17:47:56.116Z,738427,2,IA,20141
,2026-04-07T17:48:59.119Z,738428,1,IA,20141
,2026-04-07T17:50:02.115Z,738429,1,IA,20141
,2026-04-07T17:51:05.110Z,738430,1,IA,20141
,2026-04-07T17:52:05.118Z,738431,1,IA,20141
,2026-04-07T17:53:08.120Z,738432,1,IA,20141
,2026-04-07T17:54:11.107Z,738433,1,IA,20141
,2026-04-07T17:55:14.117Z,738435,2,IA,20141
,2026-04-07T17:56:17.119Z,738436,1,IA,20141
,2026-04-07T17:57:20.115Z,738437,1,IA,20141
,2026-04-07T17:58:20.121Z,738438,1,IA,20141
,2026-04-07T17:59:23.114Z,738440,2,IA,20141
,2026-04-07T18:00:26.114Z,738441,1,IA,20141
,2026-04-07T18:01:29.115Z,738442,1,IA,20141
,2026-04-07T18:02:32.112Z,738443,1,IA,20141
,2026-04-07T18:03:35.114Z,738444,1,IA,20141
,2026-04-07T18:04:38.822Z,738446,2,IA,20141
,2026-04-07T18:05:41.121Z,738447,1,IA,20141
,2026-04-07T18:06:44.118Z,738448,1,IA,20141
,2026-04-07T18:07:44.131Z,738449,1,IA,20141
,2026-04-07T18:08:47.104Z,738451,2,IA,20141
,2026-04-07T18:09:47.121Z,738452,1,IA,20141
,2026-04-07T18:10:50.122Z,738453,1,IA,20141
